sn,id,stock_name,symbol,sector
67,2935,Ru Ru Jalbidhyut Pariyojana Limited,RURU,Hydro Power
261,2936,9.5% NCC Debenture 2086,NCCD86,Corporate Debenture
26,2937,Sunrise Bluechip Fund,SBCF,Mutual Fund
237,3946,CEDB Hydropower Development Company Limited,CHDC,Investment
83,4947,Prabhu Select Fund,PSF,Mutual Fund
264,4948,9% Kamana Sewa Bikas Bank Limited Debenture 2087,KSBBLD87,Corporate Debenture
105,4949,NIBL Samriddhi Fund -2,NIBSF2,Mutual Fund
177,4951,Jeevan Bikas laghubitta  bittya sanstha ltd,JBLB,Microfinance
11,4956,Union Life Insurance Company Limited,ULI,Life Insurance
268,4959,8.5% Nepal Bank Debenture 2087,NBLD87,Corporate Debenture
271,4960,4% Agricultural Bond,ADBLB,Corporate Debenture
